Tanggal,Tavg,RH_avg,RR,ff_avg,ddd_car
01-12-2011,29.3,77.0,11.2,3.0,W 
02-12-2011,27.1,86.0,24.6,2.0,W 
03-12-2011,28.0,75.0,0.0,2.0,W 
04-12-2011,29.4,73.0,4.4,2.0,N 
05-12-2011,29.6,68.0,0.0,3.0,W 
06-12-2011,28.5,77.0,0.0,3.0,W 
07-12-2011,29.1,73.0,0.0,3.0,W 
08-12-2011,29.3,72.0,0.0,2.0,NE
09-12-2011,28.8,72.0,0.0,3.0,W 
10-12-2011,28.2,80.0,10.2,2.0,NE
11-12-2011,27.8,80.0,0.0,3.0,W 
12-12-2011,27.5,80.0,12.3,3.0,W 
13-12-2011,27.9,80.0,8888.0,2.0,NW
14-12-2011,28.4,75.0,0.0,2.0,SW
15-12-2011,28.2,77.0,0.2,2.0,SW
16-12-2011,28.2,76.0,0.0,3.0,W 
17-12-2011,28.4,76.0,3.5,3.0,W 
18-12-2011,28.0,76.0,0.0,3.0,W 
19-12-2011,28.8,75.0,8888.0,3.0,W 
20-12-2011,28.6,72.0,8888.0,3.0,W 
21-12-2011,29.7,68.0,2.4,3.0,W 
22-12-2011,29.3,73.0,2.3,2.0,W 
23-12-2011,28.1,78.0,0.0,2.0,NW
24-12-2011,29.4,78.0,0.0,3.0,W 
25-12-2011,28.6,78.0,0.0,3.0,W 
26-12-2011,28.4,78.0,9.7,3.0,W 
27-12-2011,29.2,78.0,67.2,3.0,W 
28-12-2011,28.4,82.0,0.0,2.0,W 
29-12-2011,27.7,78.0,19.0,2.0,W 
30-12-2011,28.4,76.0,8.0,2.0,W 
